title,year,author,genres,pages
On Literature,2005,Umberto Eco,,352
The Pirates Laffite,2006,William C. Davis,Biography & Autobiography,756
Foucault's Pendulum,2007,Umberto Eco,Fiction,623
Between the Acts,1969,Virginia Woolf,Fiction,224
Big Anthony and the Magic Ring,1979,Tomie DePaola,Juvenile Fiction,32
The Collected Stories of Eudora Welty,1980,Eudora Welty,,622
The Complete Shorter Fiction of Virginia Woolf,1989,Virginia Woolf,Fiction,345
The Diary of Anaïs Nin: 1939-1944,1966,Anaïs Nin,,348
The Diary of Anaïs Nin,1977,Anaïs Nin,Biography & Autobiography,432
The Diary of Anaïs Nin,1980,Anaïs Nin,Biography & Autobiography,384
The Diary of Virginia Woolf: 1915-1919,1979,Virginia Woolf,Biography & Autobiography,356
The Diary of Virginia Woolf,1980,Virginia Woolf,Biography & Autobiography,384
The Diary of Virginia Woolf: 1925-1930,1981,Virginia Woolf,Biography & Autobiography,408
The Diary of Virginia Woolf: 1931-1935,1983,Virginia Woolf,Biography & Autobiography,420
Diary Of Virginia Woolf Volume 5,1985,Virginia Woolf,Biography & Autobiography,424
Difficult Loves,1984,Italo Calvino,Fiction,300
The Early Diary of Anaïs Nin: 1923-1927,1985,Anaïs Nin,Biography & Autobiography,320
E. M. Forster,1981,Philip Nicholas Furbank,Biography & Autobiography,648
Fiasco,1988,Stanislaw Lem,Fiction,322
Henry and June,1986,Anaïs Nin,,304
Homage to Catalonia,1952,George Orwell,History,232
Incest,1993,Anaïs Nin,Biography & Autobiography,432
The Inheritors,1962,William Golding,Fiction,240
Invisible Cities,1978,Italo Calvino,Fiction,165
The Letters of Virginia Woolf: 1936-1941,1980,Virginia Woolf,Biography & Autobiography,576
"Marcovaldo, Or, The Seasons in the City",1983,Italo Calvino,Fiction,128
Moments of Being,1985,Virginia Woolf,Biography & Autobiography,230
Mrs. Dalloway,1981,Virginia Woolf,Fiction,197
Mrs. Miniver,1990,Jan Struther,Fiction,162
Murder in the Cathedral,1963,Thomas Stearns Eliot,Drama,148
The Nonexistent Knight & The Cloven Viscount,1977,Italo Calvino,Fiction,272
Orlando,1973,"Virginia Woolf, Adeline Virginia Stephen Woolf",Fiction,333
The Orwell Reader,1961,George Orwell,,480
The Philosophy of Andy Warhol,1977,Andy Warhol,Art,272
To the Lighthouse,1981,Virginia Woolf,Fiction,209
Travels in Hyper Reality,1990,Umberto Eco,,324
The Uses of Literature,1987,Italo Calvino,Literary Criticism,341
The Virginia Woolf Reader,1984,Virginia Woolf,Literary Criticism,384
The Waste Land,1974,"Thomas Stearns Eliot, Ezra Pound",Poetry,149
The Watcher & Other Stories,1975,Italo Calvino,Fiction,181
The Waves,1959,Virginia Woolf,,297
More Readings from One Man's Wilderness,2005,Richard Proenneke,,496
Tales of the Norse Gods,2001,,Juvenile Fiction,160
Party Shoes,2002,Noel Streatfeild,Children's stories,243
Cart And Cwidder,2003,Diana Wynne Jones,Juvenile Fiction,186
"Moby Dick, Or, The White Whale",1998,"Herman Melville, Geraldine McCaughrean, Victor G. Ambrus",Juvenile Fiction,104
Typhoon and Other Tales,2002,Joseph Conrad,Fiction,304
Hegel: A Very Short Introduction,2001,Peter Singer,Philosophy,131
Emma,2003,Jane Austen,Literary Criticism,402
Pride and Prejudice,2004,Jane Austen,Fiction,333
Persuasion,2004,Jane Austen,Fiction,249
Mansfield Park,2003,Jane Austen,Literary Criticism,418
Phaedrus,2002,"Plato, Robin Waterfield",Philosophy,128
Egyptian Myth: A Very Short Introduction,2004,Geraldine Pinch,History,143
The Major Works,2003,John Milton,Literary Criticism,1008
Gulliver's Travels,2005,"Jonathan Swift, Claude Rawson, Ian Higgins",Fiction,422
A Christmas Carol and Other Christmas Books,2006,Charles Dickens,Fiction,438
Candide and Other Stories,2006,Voltaire,Fiction,301
The Picture of Dorian Gray,2006,Oscar Wilde,Fiction,229
Confessions,2000,Jean-Jacques Rousseau,Literary Criticism,676
La Débâcle,2000,"Emile Zola, Elinor Dorday, Robert Lethbridge",Fiction,592
Four Gothic Novels,1994,"Horace Walpole, William Beckford, Matthew Lewis, Mary W. Shelley",,624
The Histories,1998,Herodotus,History,772
The First Philosophers,2000,Robin Waterfield,Philosophy,400
The Antiquary,2002,Sir Walter Scott,Fiction,528
Exemplary Stories,1998,"Miguel de Cervantes Saavedra, Lesley Lipson",Fiction,368
Orestes and Other Plays,2001,"Euripides, James Morwood",Literary Criticism,282
Jane Austen's Letters,1997,Jane Austen,Fiction,672
Agricola and Germany,1999,Tacitus,,224
Miss Or Mrs?,1999,Wilkie Collins,Fiction,360
Great Expectations,1998,Charles Dickens,Fiction,505
The Canterbury Tales,1998,"Geoffrey Chaucer, David Wright",Poetry,465
Complete Shorter Fiction,1998,Oscar Wilde,Fiction,288
War and Peace,1998,"Leo Tolstoy, graf Leo Tolstoy",Fiction,1392
The Castle of Otranto,1998,Horace Walpole,Fiction,125
The Bostonians,1998,Henry James,Fiction,504
The Divine Comedy,1998,"Dante Alighieri, Charles Hubert Sisson, David H. Higgins",Poetry,735
Hans Andersen's Fairy Tales,1998,Hans Christian Andersen,Juvenile Fiction,376
The Karamazov Brothers,1998,"Fyodor Dostoevsky, Ignat Avsey",Fiction,1054
Daisy Miller and Other Stories,1998,Henry James,Fiction,352
Selected Philosophical Writings,1998,Saint Thomas (Aquinas),Religion,496
The Ladies' Paradise,1998,Émile Zola,Fiction,438
A Sentimental Education,2000,Gustave Flaubert,Fiction,464
Faust,1998,Johann Wolfgang von Goethe,Fiction,304
La Dame Aux Camélias,1986,"Alexandre Dumas, David Coward",Fiction,256
First Love and Other Stories,1999,Ivan Sergeevich Turgenev,Fiction,304
The Confidence-man,1999,Herman Melville,Literary Criticism,361
The Eclogues ; The Georgics,1999,Virgil,,180
Scenes of Clerical Life,2000,George Eliot,Fiction,310
Jacques the Fatalist and His Master,1999,Denis Diderot,Fiction,304
The Notebooks of Leonardo Da Vinci,1952,"Leonardo Da Vinci, Leonardo (da Vinci)",Art,432
Eugene Onegin,1998,"Alexander Pushkin, James E. Falen",Fiction,240
The Admirable Crichton ; Peter Pan ; When Wendy Grew Up ; What Every Woman Knows ; Mary Rose,1999,James Matthew Barrie,Drama,384
La chartreuse de Parme,1999,Jm Stendhal,Fiction,560
Mrs Dalloway,2000,Virginia Woolf,,185
Dubliners,2000,James Joyce,Fiction,207
"Evelina, Or, The History of a Young Lady's Entrance Into the World",2002,Fanny Burney,Fiction,455
Aesop's Fables,2002,Laura Gibbs,Fiction,306
A Memoir of Jane Austen,2002,James Edward Austen-Leigh,Biography & Autobiography,352
Presocratic Philosophy: A Very Short Introduction,2004,Catherine Osborne,Philosophy,144
Augustine: A Very Short Introduction,2001,Henry Chadwick,Biography & Autobiography,144
The Origins of Life,2000,"John Maynard Smith, Eörs Szathmáry",Science,192
Augustine,1986,Henry Chadwick,History,128
The Hound of the Baskervilles,2000,Sir Arthur Conan Doyle,Fiction,105
Growing Old in America,1978,David Hackett Fischer,Religion,252
Alcestis,1989,Euripides,Medical,142
Albion's Seed,1989,David Hackett Fischer,Fiction,972
Inferno,1997,Dante Alighieri,Literary Criticism,672
Paul Revere's Ride,1995,David Hackett Fischer,Art,464
Justice Oliver Wendell Holmes,1995,G. Edward White,Literary Criticism,648
Notebooks of the Mind,1997,Vera John-Steiner,Psychology,288
Masters of Small Worlds,1997,Stephanie McCurry,History,344
Ride of the Second Horseman,1997,Robert L. O'Connell,History,320
The Great Wave,1999,David Hackett Fischer,Business & Economics,552
Bakkhai,2001,"Euripides, Reginald Gibbons, Charles Segal",Drama,160
Manic-Depressive Illness,2007,"Frederick K. Goodwin, Kay Redfield Jamison",Medical,1262
The Oresteia,2003,Aeschylus,Drama,304
El Libertador,2003,Simón Bolívar,,288
Medea,2006,"Eurípides, Michael Collier, Georgia Machemer",Drama,116
Philosophy of Mind,2002,David John Chalmers,Philosophy,675
Norse Mythology,2001,John Lindow,Fiction,365
Battle Cry of Freedom,2005,James M. McPherson,History,867
Introduction to Philosophy,2007,"John Perry, Michael Bratman, John Martin Fischer",Philosophy,819
Strategies of Containment,2005,John Lewis Gaddis,History,484
The Faiths of the Founding Fathers,2006,David L. Holmes,Biography & Autobiography,225
Acts of God,2006,Ted Steinberg,History,309
The Oxford Handbook of Philosophy of Mathematics and Logic,2007,Stewart Shapiro,,832
Aristophanes' Peace,1998,"Aristophanes, S. Douglas Olson",Drama,408
Lysistrata,1990,"Aristophanes, Jeffrey Henderson",Literary Criticism,320
A Midsummer Night's Dream,2001,William Shakespeare,Juvenile Nonfiction,99
Julius Caesar,2001,William Shakespeare,Juvenile Nonfiction,128
King Lear,2002,William Shakespeare,Juvenile Nonfiction,192
Macbeth,2004,William Shakespeare,Juvenile Nonfiction,160
Much Ado about Nothing,2004,William Shakespeare,Juvenile Nonfiction,160
The Oxford Dictionary of Quotations,1999,"Oxford University Press, TME.",,1536
The Canterbury Tales,1996,Helen Cooper,Literary Criticism,456
"Medieval Philosophy : A New History of Western Philosophy, Volume 2",2005,Anthony Kenny,Philosophy,352
Contemporary Political Philosophy,2002,Will Kymlicka,Philosophy,512
Clouds,1970,Aristophanes,Drama,254
The Major Works,2006,Alexander Pope,Poetry,768
"Power, Sex, Suicide",2006,Nick Lane,Science,354
The Oxford Companion to Philosophy,2005,Ted Honderich,Philosophy,1056
The Church in Ancient Society,2003,Henry Chadwick,Religion,744
William Shakespeare: The Complete Works,2005,William Shakespeare,Drama,1420
East and West: The Making of a Rift in the Church,2005,Henry Chadwick,Religion,316
An Introduction to Political Philosophy,2006,Jonathan Wolff,Philosophy,215
"Thermodynamics, Kinetic Theory, and Statistical Thermodynamics",1975,"Francis Weston Sears, Gerhard Ludwig Salinger",,454
Six Easy Pieces,1996,Richard P. Feynman,Science,176
Robin Williams Web Design Workshop,2002,"John Tollett, Robin Williams, David Rohr",,384
The Actor in You,2005,Robert L. Benedetti,Performing Arts,160
It's Not about the Bike,2001,"Lance Armstrong, Sally Jenkins",,294
Non-Fiction,2004,Chuck Palahniuk,,233
Every Second Counts,2004,"Lance Armstrong, Sally Jenkins",,246
Quimby the Mouse,2003,Chris Ware,,69
The Crescent Obscured,2000,Robert Allison,History,284
The Bridge on the Drina,1977,Ivo Andríc,Fiction,314
Love and Saint Augustine,1996,"Hannah Arendt, Joanna Vecchiarelli Scott, Judith Chelius Stark",Family & Relationships,254
Plato's Symposium,2001,"Plato, Seth Benardete",Philosophy,199
Philosophy in a Time of Terror,2004,"Jürgen Habermas, Giovanna Borradori, Jacques Derrida",History,208
"A Preface to Democratic Theory, Expanded Edition",2006,Robert A. Dahl,Political Science,200
Lost Prophet,2004,John D'Emilio,Biography & Autobiography,592
The Work of Mourning,2003,Jacques Derrida,Literary Criticism,272
"History of Religious Ideas, Volume 3",1988,Mircea Eliade,Religion,367
Bengal Nights,1995,Mircea Eliade,Fiction,184
The Complete Tales of Nikolai Gogol,1985,"Nikolai Gogol, Николай Васильевич Гоголь",Fiction,302
"Love, Sex & Tragedy",2005,Simon Goldhill,History,345
Complete Greek Tragedies,1942,"David Grene, Richmond Lattimore",,358
Greek tragedies,1992,"Sophocles, Aeschylus, Euripides",Drama,472
The Complete Greek Tragedies: Euripides,1992,"Aeschylus, Sophocles, Euripides",Drama,672
Greek Tragedies,1960,"David Grene, Richmond Lattimore",Literary Criticism,304
Oresteia,1953,"Esquilo, Aeschylus",,171
Euripides I,1955,Euripides,,221
The Complete Greek Tragedies,1973,"David Grene, Richmond Lattimore",,254
Aeschylus: The suppliant maidens,1991,"Aeschylus, David Grene",Drama,188
"Billy Budd, Sailor",1962,Herman Melville,Fiction,230
Gilgamesh Epic and Old Testament Parallels,1949,Alexander Heidel,Religion,280
Works of Hesiod and the Homeric Hymns,2005,Hesiod,Poetry,230
"The Progressive Historians--Turner, Beard, Parrington",1979,Richard Hofstadter,History,498
The Collaborator,2001,Alice Kaplan,History,308
Heat Wave,2003,Eric Klinenberg,History,320
Moral Politics,2002,George Lakoff,Language Arts & Disciplines,471
A River Runs Through It,1989,Norman Maclean,Biography & Autobiography,168
Young Men and Fire,1993,Norman Maclean,Biography & Autobiography,301
"Antitrust Law, Second Edition",2001,Richard A. Posner,,304
A Dance to the Music of Time,1995,Anthony Powell,Fiction,718
Mystical Poems of Rumi Translated,1968,"Jalāl al-Dīn Rūmī (Maulana), A. J. Arberry",,208
The Family Idiot,1981,Jean-Paul Sartre,Biography & Autobiography,632
History of Political Philosophy,1987,"Leo Strauss, Joseph Cropsey",Philosophy,980
From Counterculture to Cyberculture,2006,Fred Turner,Social Science,327
Genetics and the Origin of Species,1982,Theodosius Dobzhansky,Science,364
The Pillow Book of Sei Sh?nagon,1991,Sei Shōnagon,,419
Three Plays by Kobo Abe,1993,Kōbō Abe,Fiction,233
Discovering Plato,1960,Alexandre Koyre,,118
"The Columbia Reader on Lesbians and Gay Men in Media, Society, and Politics",1999,"Larry P. Gross, James D. Woods",Social Science,672
Poems Between Women,1999,Emma Donoghue,Poetry,256
Antigone's Claim,2002,Judith Butler,Philosophy,118
The Vital Illusion,2000,"Jean Baudrillard, Julia Witwer",Literary Criticism,96
An Arab-Syrian Gentleman and Warrior in the Period of the Crusades,2000,"Usāmah ibn Munqidh, Philip Khuri Hitti",History,265
William Faulkner,1999,Nicolas Tredell,Literary Criticism,192
"Nathaniel Hawthorne, The Scarlet Letter",2000,Nathaniel Hawthorne,Literary Criticism,192
The Poetry of Sylvia Plath,1999,Claire Brennan,Literary Criticism,202
The Intellectuals and the Flag,2006,"Todd Gitlin, Professor of Culture Journalism and Sociology Todd Gitlin",Political Science,167
More Than You Know,2006,Michael J. Mauboussin,Business & Economics,268
Nietzsche and Philosophy,2006,Gilles Deleuze,Philosophy,256
Remembering JFK,2003,"Jacques Lowe, Hugh Sidey",,432
Oliver Twist,2003,"Pauline Francis, Charles Dickens",Juvenile Nonfiction,48
"20,000 Leagues Under the Sea",2004,"Jules Verne, Pauline Francis",Children's stories,48
Avid Editing,2003,Sam Kauffmann,Performing Arts,414
Directing the Documentary,2004,Michael Rabiger,Performing Arts,648
The Very Hungry Caterpillar,1994,Eric Carle,,26
The Best of McSweeney's,2005,Dave Eggers,,384
Stuart Little,1946,Elwyn Brooks White,,144
The Dark Descent,1990,David G. Hartwell,,304
Zora Neale Hurston,1980,Robert E. Hemenway,Biography & Autobiography,408
Chicago Stories,1998,"James Thomas Farrell, Professor James T Farrell",Fiction,296
Dante's Vita Nuova,1973,"Alighieri Dante, Dante Alighieri",Literary Criticism,210
A Theory of Semiotics,1979,Umberto Eco,Literary Criticism,368
The Role of the Reader,1984,Umberto Eco,Literary Criticism,288
The Basic Problems of Phenomenology,1988,Martin Heidegger,Philosophy,432
Hegel's Phenomenology of Spirit,1994,Martin Heidegger,Philosophy,176
Dante's Inferno,1995,"Dante (Alighieri), Dante Alighieri",Poetry,432
Introduction to Documentary,2001,Bill Nichols,Performing Arts,248
The Treason of Isengard,2002,"John Ronald Reuel Tolkien, Christopher Tolkien",English fiction,465
The Lost Road,2002,"John Ronald Reuel Tolkien, Christopher Tolkien",,455
The Lays of Beleriand,2002,"John Ronald Reuel Tolkien, Christopher Tolkien",Poetry,393
The Lord of the Rings,1991,J. R. R. Tolkien,Fiction,1200
The Silmarillion,1999,John Ronald Reuel Tolkien,,384
The Monsters and the Critics,1997,John Ronald Reuel Tolkien,,240
"The Hobbit, Or, There and Back Again",1997,"John Ronald Reuel Tolkien, Alan Lee",,289
The Silmarillion,1998,John Ronald Reuel Tolkien,,368
The Parallax View,2006,Slavoj Žižek,Philosophy,433
Structure and Interpretation of Computer Programs,1996,"Harold Abelson, Gerald Jay Sussman, Julie Sussman",,657
The Man Who Tasted Shapes,2003,Richard E. Cytowic,Medical,296
Elbow Room,1984,Daniel Clement Dennett,Philosophy,200
Theory of Colours,1970,"Johann Wolfgang von Goethe, Donald Eastlake",Art,423
An Odyssey in Learning and Perception,1994,Eleanor J. Gibson,Psychology,654
Pop Internationalism,1997,Paul R. Krugman,Business & Economics,221
"Development, Geography, and Economic Theory",1997,Paul R. Krugman,Business & Economics,127
Inattentional Blindness,2000,"Arien Mack, Irvin Rock",Psychology,287
The Language of New Media,2001,"Lev Manovich, Roger F. Malina, Sean Cubitt",Art,354
"Turtles, Termites, and Traffic Jams",1997,Mitchel Resnick,,184
Looking Awry,1992,Slavoj Žižek,Performing Arts,188
The Puppet and the Dwarf,2003,"Slavoj Žižek, Žižek, Stockholm Inst Of Transition Staff, Mladen Dolar, Alenka Zupancic",Philosophy,196
Treatise on Happiness,1983,"Saint Thomas (Aquinas), Thomas Aquinas",Philosophy,224
Marketing and the Bottom Line,2003,Tim Ambler,Business & Economics,336
"Traders, Guns & Money",2006,Satyajit Das,Business & Economics,334
The Heights of Courage,1992,Avigdor Kahalani,History,234
C. S. Lewis,2007,Bruce L. Edwards,Literary Criticism,1416
The Lost World of Agharti,1996,Alec Maclellan,"Body, Mind & Spirit",232
Zero,2003,Charles Seife,,248
Zen Buddhism & Psychoanalysis,1974,"Daisetz Teitaro Suzuki, Erich Fromm, Richard De Martino",,188
The Wanderer,2001,"Knut Hamsun, Gunnvor Stallybrass",English fiction,164
Memoirs,2004,Pablo Neruda,,378
Paso Del Norte,1967,Juan Rulfo,Fiction,191
100 Love Sonnets,1986,Pablo Neruda,Poetry,232
Long Day's Journey,1999,Carlos A. Schwantes,History,408
Philip Vera Cruz,2000,"Craig Scharlin, Lilia V Villanueva",Biography & Autobiography,208
Mark Twain's Own Autobiography,1990,Mark Twain,,301
Letters to J. D. Salinger,2002,"Chris Kubica, Will Hochman",Biography & Autobiography,270
The Poems of Alexander Pope,1963,Alexander Pope,Poetry,880
Psychoanalysis and Religion,1950,Erich Fromm,Psychology,126
"Euthyphro, Apology, Crito, Meno, Gorgias, Menexenus",1984,Plato,Philosophy,352
The Shaping of America: A Geographical Perspective on 500 Years of History,1986,D. W. Meinig,History,636
Seeing Like a State,1998,James C. Scott,Political Science,445
Leonardo on Painting,2001,Leonardo,Art,336
Dreaming in Pictures,2002,"Douglas Robert Nickel, Lewis Carroll, San Francisco Museum of Modern Art",,172
Art and Beauty in the Middle Ages,2002,Umberto Eco,Art,144
Long Day's Journey Into Night,2002,Eugene O'Neill,Drama,179
Marcel Proust,2002,William C. Carter,Biography & Autobiography,992
How Democratic is the American Constitution?,2003,Robert A. Dahl,History,240
The Voices of Morebath,2003,Eamon Duffy,History,232
Hamlet,2003,"William Shakespeare, Burton Raffel, Harold Bloom",Drama,249
Cosmos,2005,"Witold Gombrowicz, Danuta Borchardt",Fiction,208
Cuba,2005,Richard Gott,History,384
Eva Hesse Drawing,2006,"Menil collection (Houston, Tex.)., Eva Hesse, Drawing center (New York)., Drawing Center (New York, N.Y.), Walker Art Center (Minneapolis, Minn.)., Museum of Contemporary Art (Los Angeles, Calif.)",Art,344
The Annotated Waste Land with Eliot's Contemporary Prose,2006,"Thomas Stearns Eliot, Lawrence S. Rainey",Literary Criticism,304
Hannibal,1992,Leonard Cottrell,History,248
The Collapse of the Third Republic,1994,William Lawrence Shirer,History,1082
The Complete Short Stories Of Robert Louis Stevenson,1998,"Charles Neider, Robert Louis Stevenson",,720
Hemingway,1999,Jeffrey Meyers,,644
Unsung Heroes of Rock 'n' Roll,1999,Nick Tosches,Biography & Autobiography,288
The Dark Side Of Genius,1999,Donald Spoto,Performing Arts,608
Sammlung,2000,Mark Twain,,732
Johnny Cash,2006,Michael Streissguth,Biography & Autobiography,334
23 Days in July,2005,John Wilcockson,Sports & Recreation,344
75 Years of Little Golden Books: 1942-2017,2017,"Margaret Wise Brown, Ruth Krauss, Richard Scarry, Dennis R. Shealy, Kathryn Jackson, Byron Jackson, Janette Sebring Lowrey, Gertrude Crampton, Jane Werner Watson",,24
The Deeper Meaning of Liff,2005,"Douglas Adams, John Lloyd",Humor,192
The Last Boleyn,2006,Karen Harper,Fiction,592
Giada's Family Dinners,2006,Giada De Laurentiis,Cooking,256
The Spy Who Barked,2002,George Edward Stanley,Juvenile Fiction,48
Terrorist,2006,John Updike,Fiction,320
Beloved,2006,Toni Morrison,Fiction,360
The Name of the Rose,2006,Umberto Eco,Fiction,560
The Road,2006,Cormac McCarthy,Fiction,241
The Best of Wodehouse,2007,Pelham Grenville Wodehouse,Fiction,840
Buried Child,2006,Sam Shepard,Drama,120
The Devil Wears Prada,2006,Lauren Weisberger,Fiction,432
Death Match,2006,Lincoln Child,Fiction,388
The Lighthouse,2006,P. D. James,Fiction,400
If Beale Street Could Talk,2006,James Baldwin,Fiction,197
A Million Little Pieces,2004,James Frey,Biography & Autobiography,432
Robert Langdon Novels,2003,Dan Brown,,489
The Sunset Limited,2006,Cormac McCarthy,Drama,160
A Walk in the Woods,2007,Bill Bryson,Sports & Recreation,397
The Alchemist's Daughter,2006,Katharine McMahon,Fiction,346
Cesar's Way,2006,"Cesar Millan, Melissa Jo Peltier",,270
"Small Bites, Big Nights",2007,"Govind Armstrong, Ann Wycoff, Alison Clare Steingold",Cooking,256
Why Do Men Fall Asleep After Sex?,2006,"Mark Leyner, Billy Goldberg",Health & Fitness,263
Everyday Pasta,2007,Giada De Laurentiis,Cooking,240
Dreams from My Father,2007,Barack Obama,Biography & Autobiography,442
Gifted Hands,1996,"Ben Carson, Cecil B. Murphey",Biography & Autobiography,224
Trial by Fire,2000,Terri Blackstock,Fiction,347
Breach of Promise,2004,James Scott Bell,Fiction,345
Deadlock,2002,James Scott Bell,Fiction,319
Ever After,2006,Karen Kingsbury,Fiction,337
Fanning the Flame,2003,Christopher J. H. Wright,Religion,336
The Church on the Other Side,2003,Brian D. McLaren,Religion,224
The Church in Emerging Culture,2003,Andy Crouch,Religion,272
Becoming a Contagious Christian,2007,"Mark Mittelberg, Lee Strobel, Bill Hybels",Religion,299
Journey into God's Word,2005,"J. Scott Duvall, J. Daniel Hays",Religion,462
Zondervan Handbook to the Bible,2005,"David Alexander, Pat Alexander",Religion,816
Velvet Elvis,2005,Rob Bell,Religion,194
Purpose Driven Life MM Camouflage Edition,2004,"Rick Warren, D.Min., Zondervan Publishing",,336
A Search for What Makes Sense,2007,Brian D. McLaren,Religion,187
The Complete Green Letters,1983,Miles J. Stanford,Religion,336
Zondervan NIV Study Bible,2002,"Kenneth L. Barker, Donald W. Burdick",,2198
How to Write a Damn Good Novel,1987,James N. Frey,Language Arts & Disciplines,192
The Sun in the Morning,1990,Mary Margaret Kaye,Biography & Autobiography,454
The Awakening,1993,Kate Chopin,,343
James Herriot's Treasury for Children,1992,James Herriot,Juvenile Nonfiction,260
Modern Classics of Science Fiction,1993,Gardner Dozois,Fiction,672
The Great Ape Project,1993,"Paola Cavalieri, Peter Singer",Nature,312
White Man's Grave,1995,Richard Dooling,Fiction,400
Isak Dinesen,1995,Judith Thurman,Biography & Autobiography,512
Four Weddings and a Funeral,1996,Richard Curtis,Performing Arts,128
With William Burroughs,1996,"William S. Burroughs, Victor Bockris",Biography & Autobiography,286
The Everyday I Ching,1997,Sarah Dening,"Body, Mind & Spirit",224
The Far Pavilions,1997,M. M. Kaye,Fiction,958
From Bondage,1997,Henry Roth,Fiction,420
Mary Queen of Scotland & The Isles,1997,Margaret George,Fiction,870
The Communist Manifesto: Marx,1999,John Toews,Political Science,184
Through the Dark Labyrinth,1997,Gordon Bowker,Biography & Autobiography,480
I Capture the Castle,1948,Dodie Smith,Fiction,343
Marilyn Manson,1998,Kurt Reighley,Biography & Autobiography,192
Radio On,1997,Sarah Vowell,,256
Human Croquet,1999,Kate Atkinson,Fiction,352
The Autobiography of Henry VIII,1998,Margaret George,Fiction,939
Bachelor Brothers' Bed & Breakfast Pillow Book,1998,Bill Richardson,Fiction,208
One Thousand White Women,1999,Jim Fergus,Fiction,434
Requiem for Harlem,1998,Henry Roth,Fiction,304
High Five,1999,Janet Evanovich,Fiction,292
"James Tiptree, Jr.",2006,Julie Phillips,Biography & Autobiography,469
Birds of America,1999,Lorrie Moore,Fiction,291
And The Band Played on,2000,Randy Shilts,Health & Fitness,656
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,1999,Philip Gourevitch,History,356
Death in the Andamans,2000,M. M. Kaye,Fiction,272
Death in Berlin,2000,M. M. Kaye,Fiction,272
Death in Kashmir,2000,M. M. Kaye,Fiction,256
Four Mothers,2000,"Shifra Horn, Dalya Bilu",Fiction,276
Timbuktu,1999,Paul Auster,Fiction,181
The Italian Girl,2000,Patricia Hall,Fiction,208
The Naked and the Dead,2000,Norman Mailer,Fiction,721
Enchanted Evening,2000,M. M. Kaye,Biography & Autobiography,368
The Illustrated Story Of O,2001,Pauline Reage,,160
Catfish and Mandala,2000,Andrew X. Pham,Biography & Autobiography,344
The Satanic Verses,2000,Salman Rushdie,Fiction,561
Absent in the Spring and Other Novels,2001,"Mary Westmacott, Agatha Christie",Fiction,656
Round Ireland with a Fridge,2001,Tony Hawks,Travel,248
An Unfortunate Woman,2001,Richard Brautigan,Fiction,132
The Glass Bead Game,2002,Hermann Hesse,Fiction,558
Emotionally Weird,2001,Kate Atkinson,Fiction,368
A Writer's Workbook,2002,"Caroline Sharp, Elizabeth Gilbert",Language Arts & Disciplines,176
Waiting for My Cats to Die,2002,Stacy Horn,Biography & Autobiography,320
Serious Girls,2004,Maxine Swann,Fiction,240
Lords of the White Castle,2002,Elizabeth Chadwick,Fiction,624
The Christmas Shoes,2001,Donna VanLiere,Fiction,132
Education As My Agenda,2005,"Gertrude S. Williams, Jo Ann Robinson",Biography & Autobiography,336
Banvard's Folly,2002,Paul Collins,History,320
The Last Jew,1992,Noah Gordon,Fiction,352
How to Write a Damn Good Mystery,2004,James N. Frey,Language Arts & Disciplines,288
Jenny and the Jaws of Life,2002,Jincy Willett,Fiction,272
Plum Lovin',2007,Janet Evanovich,Fiction,164
McCarthy's Bar,2003,Pete McCarthy,Travel,338
The Pythons,2005,"Graham Chapman, John Cleese, Terry Gilliam, Michael Palin, Eric Idle, Terry Jones",Biography & Autobiography,368
The Little Princesses,2003,Marion Crawford,Biography & Autobiography,230
The New York Times Guide to Essential Knowledge,2004,The New York Times,,1104
Little Children,2004,Tom Perrotta,Fiction,355
The Gatekeeper,2003,Terry Eagleton,Biography & Autobiography,192
Dominion,2003,Matthew Scully,Nature,448
SPQR VI: Nobody Loves a Centurion,2003,John Maddox Roberts,Fiction,288
Something Borrowed,2004,Emily Giffin,Fiction,322
Something Borrowed,2005,Emily Giffin,Fiction,322
P.S. Your Cat Is Dead,2003,James Kirkwood,Fiction,218
Something Blue,2006,Emily Giffin,Fiction,338
All Things Bright and Beautiful,2004,James Herriot,Biography & Autobiography,378
Inside the Mind of Gideon Rayburn,2006,Sarah Miller,Juvenile Fiction,289
Spider Mountain,2006,P. T. Deutermann,Fiction,309
Where the Mountain Casts Its Shadow,2005,Maria Coffey,Biography & Autobiography,256
Sideways,2004,Rex Pickett,Fiction,368
Baby Proof,2006,Emily Giffin,Fiction,340
Lean Mean Thirteen,2007,Janet Evanovich,Fiction,310
The Last Wife of Henry VIII,2006,Carolly Erickson,Fiction,326
The Forsaken,2006,L. A. Banks,Fiction,448
A Woman of Substance,2005,Barbara Taylor Bradford,Fiction,928
The Red Tent,2005,Anita Diamant,Fiction,336
Dirty Little Secrets,2006,Joy King,Fiction,256
Think Like a Guy,2006,Giuliana Depandi,Family & Relationships,172
The Ravenscar Dynasty,2006,Barbara Taylor Bradford,Fiction,484
The Devil in the Junior League,2006,Linda Francis Lee,Fiction,336
The Silver Pigs,2006,Lindsey Davis,Fiction,329
The Mystery Method,2007,"Mystery, Chris Odom",Family & Relationships,240
Marked,2007,"P. C. Cast, Kristin Cast",Juvenile Fiction,306
Let's Go Australia 9th Edition,2006,Let's Go Inc,Travel,784
"The Paris Review Interviews, I",2006,The Paris Review,Biography & Autobiography,510
