title,year,author,genres,pages
The Origins of the Civil Rights Movement,1986,Aldon D. Morris,History,368
Presidential Power and the Modern Presidents,1991,Richard E. Neustadt,History,384
"Rest, Rabbit, Rest",1978,"Jacquelyn Reinach, Richard Hefter",Juvenile Fiction,32
Where the Red Fern Grows,2000,Wilson Rawls,Juvenile Fiction,288
Poppy's Return,2006,Avi,Juvenile Fiction,256
Diary of a Spider,2005,Doreen Cronin,Juvenile Fiction,40
An Old-Fashioned Thanksgiving,2005,"Louisa May Alcott, James Bernardin",Juvenile Fiction,32
The Paradox of Choice,2005,Barry Schwartz,Business & Economics,265
How to Read Literature Like a Professor,2003,Thomas C. Foster,Literary Criticism,314
The Amazing Maurice and His Educated Rodents,2001,Terry Pratchett,Juvenile Fiction,256
The Wee Free Men,2004,Terry Pratchett,Juvenile Fiction,390
Going Postal,2004,Terry Pratchett,Fiction,377
Modern Mind,2002,Peter Watson,Science,847
She Went All the Way,2002,Meg Cabot,Fiction,357
Island,1962,Aldous Huxley,Fiction,354
A Year in the Life of William Shakespeare,2006,James Shapiro,Biography & Autobiography,333
Lucy Sullivan Is Getting Married,2002,Marian Keyes,Fiction,640
The Terminal Man,2002,Michael Crichton,Fiction,266
The Art of the Novel,2003,Milan Kundera,Literary Criticism,176
The Bromeliad Trilogy,2003,Terry Pratchett,Juvenile Fiction,502
"Merry Christmas, Amelia Bedelia",2002,Peggy Parish,Juvenile Fiction,64
Identity,1998,Milan Kundera,Fiction,176
The thief of always,1992,Clive Barker,Fiction,225
The Illustrated Alchemist,1998,"Paulo Coelho, Alan R. Clarke, Moebius",Fiction,198
Mars and Venus Book of Days,1998,John Gray,Family & Relationships,368
The Last of the Really Great Whangdoodles,1996,Julie Andrews Edwards,Juvenile Fiction,209
Today I Feel Silly & Other Moods That Make My Day,1998,Jamie Lee Curtis,Juvenile Fiction,40
The Missing Piece Meets the Big O,1981,Shel Silverstein,Juvenile Fiction,104
"Lafcadio, the Lion Who Shot Back",1963,Shel Silverstein,Juvenile Fiction,112
The Secret Garden Cookbook,1999,Amy Cotler,Juvenile Nonfiction,128
Laura's Album,1998,William Anderson,Juvenile Nonfiction,80
Quivers,1995,Robin Quivers,,341
Moonspinners,2003,Mary Stewart,Fiction,400
Small Wonder,2003,Barbara Kingsolver,,264
Worlds Enough & Time,2002,Dan Simmons,Fiction,272
The Cheese Monkeys,2002,Chip Kidd,Fiction,288
Travels,2002,Michael Crichton,Biography & Autobiography,400
Caesar,2003,Colleen McCullough,Fiction,928
The Forever War,2003,Joe Haldeman,Fiction,278
Amelia Bedelia Goes Camping,2003,Peggy Parish,Juvenile Fiction,64
The Secret Sister,2005,Elizabeth Lowell,Fiction,416
Amelia Bedelia Helps Out,2005,Peggy Parish,Juvenile Fiction,64
Whirlpool,2006,Elizabeth Lowell,Fiction,448
"Teach Us, Amelia Bedelia",2004,Peggy Parish,Juvenile Fiction,64
Cryptonomicon,2002,Neal Stephenson,Fiction,1139
Falling Up,2002,Shel Silverstein,Juvenile Nonfiction,178
Anansi Boys,2006,Neil Gaiman,Fiction,387
Fragile Things,2006,Neil Gaiman,Fiction,360
What Went Wrong?,2003,Bernard Lewis,History,186
Letters from the Earth,2004,Mark Twain,Literary Criticism,321
Savannah Blues,2003,Mary Kay Andrews,Fiction,404
The Whipping Boy,2003,Sid Fleischman,Juvenile Fiction,90
The Innovator's Dilemma,2003,Clayton M. Christensen,Business & Economics,286
A Nose for Murder,2003,Lee Charles Kelley,Fiction,267
Happiness,2003,Will Ferguson,Fiction,320
Size 12 Is Not Fat,2006,Meg Cabot,Fiction,345
Warrior of the Light,2004,Paulo Coelho,Fiction,142
The Devil and Miss Prym,2006,Paulo Coelho,Fiction,205
The Big Bing,2006,Stanley Bing,Business & Economics,368
One Hundred Years of Solitude,2003,Gabriel Garcia Marquez,Fiction,417
Walt Whitman,2003,Justin Kaplan,Biography & Autobiography,464
How to Make Love Like a Porn Star,2004,"Jenna Jameson, Neil Strauss",Biography & Autobiography,592
The Outsider,1953,Richard Wright,Fiction,672
1421,2004,Gavin Menzies,History,650
The Andromeda Strain,2003,Michael Crichton,Fiction,327
Congo,2003,Michael Crichton,Fiction,442
Johnny and the Dead,2006,Terry Pratchett,Juvenile Fiction,213
Amelia Bedelia 40th Anniversary Collection,2003,Peggy Parish,Juvenile Fiction,96
The Girls of Lighthouse Lane #3,2005,"Thomas Kinkade, Erika Tamar",Juvenile Fiction,192
The Bradbury Chronicles,2006,Sam Weller,Biography & Autobiography,384
